"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","204.44","205.09","205.81","204.30","3.44M","-0.24%"
"Dec 30, 2021","204.93","204.97","206.73","204.75","3.57M","-0.36%"
"Dec 29, 2021","205.67","205.76","206.18","204.37","3.78M","0.20%"
"Dec 28, 2021","205.26","205.63","206.35","204.91","4.15M","0.04%"
"Dec 27, 2021","205.17","203.57","205.79","203.48","4.15M","0.97%"
"Dec 23, 2021","203.19","200.66","203.73","200.36","5.29M","1.39%"
"Dec 22, 2021","200.41","197.46","200.62","197.11","5.71M","1.82%"
"Dec 21, 2021","196.82","193.90","196.87","192.40","6.70M","2.59%"
"Dec 20, 2021","191.85","191.88","192.28","189.90","11.05M","-1.76%"
"Dec 17, 2021","195.29","194.99","197.64","193.65","11.76M","-0.68%"
"Dec 16, 2021","196.63","202.05","202.41","196.37","9.17M","-2.21%"
"Dec 15, 2021","201.07","197.85","201.17","195.20","9.46M","1.27%"
"Dec 14, 2021","198.55","197.50","199.12","196.35","7.68M","-0.58%"
"Dec 13, 2021","199.71","203.80","204.14","199.18","7.50M","-2.58%"
"Dec 10, 2021","204.99","204.55","205.06","202.10","7.19M","0.70%"
"Dec 09, 2021","203.57","206.32","206.64","203.50","5.88M","-1.73%"
"Dec 08, 2021","207.16","206.79","207.51","205.54","5.99M","0.25%"
"Dec 07, 2021","206.64","205.29","207.30","204.79","6.94M","2.33%"
"Dec 06, 2021","201.93","200.45","203.75","197.66","11.66M","1.14%"
"Dec 03, 2021","199.65","204.37","204.97","197.60","14.27M","-1.94%"
"Dec 02, 2021","203.61","201.61","204.54","200.63","16.64M","1.42%"
"Dec 01, 2021","200.75","207.32","208.74","200.64","12.97M","-1.80%"
"Nov 30, 2021","204.44","206.94","208.05","203.36","13.22M","-1.35%"
"Nov 29, 2021","207.24","206.75","208.88","206.27","8.38M","1.55%"
"Nov 26, 2021","204.07","206.32","207.03","203.73","7.66M","-2.73%"
"Nov 24, 2021","209.79","207.15","210.43","206.05","8.17M","0.21%"
"Nov 23, 2021","209.36","211.02","212.24","206.49","11.48M","-0.73%"
"Nov 22, 2021","210.89","212.77","215.00","210.05","9.22M","-0.25%"
"Nov 19, 2021","211.42","210.51","211.99","210.08","7.49M","0.43%"
