"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","71.58","71.18","71.83","71.04","9.31M","0.35%"
"Dec 30, 2021","71.33","71.26","71.40","70.81","9.19M","0.37%"
"Dec 29, 2021","71.07","70.77","71.18","70.65","6.82M","0.54%"
"Dec 28, 2021","70.69","70.16","70.71","70.11","7.88M","0.90%"
"Dec 27, 2021","70.06","69.75","70.06","69.54","7.82M","0.49%"
"Dec 23, 2021","69.72","69.77","70.08","69.64","7.25M","-0.01%"
"Dec 22, 2021","69.73","69.32","69.83","69.22","9.46M","0.43%"
"Dec 21, 2021","69.43","69.75","70.21","69.06","16.09M","-0.14%"
"Dec 20, 2021","69.53","68.80","69.60","68.24","15.02M","-0.69%"
"Dec 17, 2021","70.01","70.81","71.16","69.86","21.84M","-1.51%"
"Dec 16, 2021","71.08","70.65","71.51","70.59","14.94M","0.51%"
"Dec 15, 2021","70.72","69.50","70.78","69.50","22.68M","1.64%"
"Dec 14, 2021","69.58","69.99","70.13","69.25","17.50M","-0.60%"
"Dec 13, 2021","70.00","69.08","70.34","69.08","13.74M","1.23%"
"Dec 10, 2021","69.15","69.06","69.48","68.79","11.70M","0.54%"
"Dec 09, 2021","68.78","69.03","69.17","68.31","11.89M","-0.13%"
"Dec 08, 2021","68.87","69.00","69.33","68.50","12.98M","-0.10%"
"Dec 07, 2021","68.94","68.44","69.11","68.26","10.89M","0.75%"
"Dec 06, 2021","68.43","67.84","69.14","67.81","23.61M","1.53%"
"Dec 03, 2021","67.40","67.06","67.42","66.08","21.39M","1.00%"
"Dec 02, 2021","66.73","66.09","67.34","66.09","17.53M","1.27%"
"Dec 01, 2021","65.89","66.19","67.47","65.86","23.01M","0.18%"
"Nov 30, 2021","65.77","67.41","67.43","65.72","24.31M","-2.92%"
"Nov 29, 2021","67.75","67.15","67.93","66.75","11.41M","1.48%"
"Nov 26, 2021","66.76","67.34","67.78","66.59","10.93M","-1.56%"
"Nov 24, 2021","67.82","67.75","67.96","67.40","7.97M","0.06%"
"Nov 23, 2021","67.78","67.73","68.17","67.38","9.52M","0.10%"
"Nov 22, 2021","67.71","67.20","68.07","67.07","11.58M","0.61%"
"Nov 19, 2021","67.30","67.01","67.45","66.83","10.30M","0.57%"
"Nov 18, 2021","66.92","67.16","67.29","66.69","7.65M","-0.52%"
"Nov 17, 2021","67.27","67.05","67.37","66.71","9.50M","0.09%"
"Nov 16, 2021","67.21","67.56","67.68","67.17","6.61M","-0.47%"
"Nov 15, 2021","67.53","66.90","67.55","66.80","9.50M","1.32%"
"Nov 12, 2021","66.65","66.67","66.83","66.36","9.09M","-0.06%"
"Nov 11, 2021","66.69","67.06","67.09","66.34","7.87M","-0.61%"
"Nov 10, 2021","67.10","66.66","67.15","66.58","12.92M","0.81%"
"Nov 09, 2021","66.56","66.32","66.74","66.13","8.24M","0.51%"
"Nov 08, 2021","66.22","67.27","67.27","65.90","9.84M","-1.49%"
"Nov 05, 2021","67.22","66.81","67.51","66.74","10.79M","0.95%"
"Nov 04, 2021","66.59","66.84","67.00","65.90","16.09M","-0.55%"
"Nov 03, 2021","66.96","67.09","67.36","66.42","10.48M","-0.37%"
"Nov 02, 2021","67.21","67.38","67.51","66.73","9.93M","0.09%"
"Nov 01, 2021","67.15","66.89","67.32","66.69","8.09M","0.36%"
"Oct 29, 2021","66.91","67.29","67.57","66.58","13.33M","-0.59%"
"Oct 28, 2021","67.31","66.83","67.31","66.75","7.72M","0.66%"
"Oct 27, 2021","66.87","67.58","67.64","66.80","11.13M","-0.67%"
"Oct 26, 2021","67.32","67.06","67.83","66.93","9.70M","0.54%"
"Oct 25, 2021","66.96","67.17","67.36","66.81","7.58M","-0.43%"
"Oct 22, 2021","67.25","67.09","67.37","66.94","10.70M","0.51%"
"Oct 21, 2021","66.91","66.92","67.18","66.82","8.69M","0.00%"
"Oct 20, 2021","66.91","66.12","67.17","66.12","13.90M","1.58%"
"Oct 19, 2021","65.87","65.50","65.95","65.37","10.71M","1.26%"
"Oct 18, 2021","65.05","65.28","65.41","64.71","10.35M","-0.96%"
"Oct 15, 2021","65.68","65.97","66.20","65.57","14.80M","-0.29%"
"Oct 14, 2021","65.87","65.27","65.99","65.14","10.70M","1.23%"
"Oct 13, 2021","65.07","64.34","65.12","64.00","13.10M","1.17%"
"Oct 12, 2021","64.32","63.98","64.50","63.81","10.50M","0.67%"
"Oct 11, 2021","63.89","64.59","64.61","63.81","12.71M","-1.36%"
"Oct 08, 2021","64.77","65.24","65.37","64.72","8.90M","-0.74%"
"Oct 07, 2021","65.25","65.74","66.24","65.17","13.77M","-0.53%"
"Oct 06, 2021","65.60","64.42","65.64","64.02","16.58M","1.55%"
"Oct 05, 2021","64.60","64.84","65.07","64.52","13.07M","-0.25%"
"Oct 04, 2021","64.76","63.79","64.94","63.79","20.20M","1.38%"
"Oct 01, 2021","63.88","64.27","64.39","63.66","14.50M","0.00%"
"Sep 30, 2021","63.88","64.61","64.64","63.79","13.57M","-0.79%"
"Sep 29, 2021","64.39","63.74","64.84","63.59","15.43M","1.31%"
"Sep 28, 2021","63.56","64.28","64.41","63.38","20.24M","-1.26%"
"Sep 27, 2021","64.37","65.09","65.69","64.28","10.89M","-1.18%"
"Sep 24, 2021","65.14","65.20","65.63","64.98","11.83M","-0.11%"
"Sep 23, 2021","65.21","65.60","66.03","65.15","9.67M","-0.53%"
"Sep 22, 2021","65.56","65.84","66.09","65.31","12.39M","-0.06%"
